provincia,country,lat,long,dates,value
,Albania,41.15330000,20.16830000,2020-05-06,595
,Albania,41.15330000,20.16830000,2020-05-07,605
,Albania,41.15330000,20.16830000,2020-05-08,620
,Albania,41.15330000,20.16830000,2020-05-09,627
,Albania,41.15330000,20.16830000,2020-05-10,650
,Albania,41.15330000,20.16830000,2020-05-11,654
,Albania,41.15330000,20.16830000,2020-05-12,682
,Albania,41.15330000,20.16830000,2020-05-13,688
,Albania,41.15330000,20.16830000,2020-05-14,694
,Albania,41.15330000,20.16830000,2020-05-15,705
,Albania,41.15330000,20.16830000,2020-05-16,714
,Albania,41.15330000,20.16830000,2020-05-17,715
,Albania,41.15330000,20.16830000,2020-05-18,727
,Albania,41.15330000,20.16830000,2020-05-19,742
,Albania,41.15330000,20.16830000,2020-05-20,758
,Albania,41.15330000,20.16830000,2020-05-21,771
,Albania,41.15330000,20.16830000,2020-05-22,777
,Albania,41.15330000,20.16830000,2020-05-23,783
,Albania,41.15330000,20.16830000,2020-05-24,789
,Albania,41.15330000,20.16830000,2020-05-25,795
,Albania,41.15330000,20.16830000,2020-05-26,803
,Albania,41.15330000,20.16830000,2020-05-27,812
,Albania,41.15330000,20.16830000,2020-05-28,823
,Albania,41.15330000,20.16830000,2020-05-29,851
,Albania,41.15330000,20.16830000,2020-05-30,857
,Albania,41.15330000,20.16830000,2020-05-31,872
,Albania,41.15330000,20.16830000,2020-06-01,877
,Albania,41.15330000,20.16830000,2020-06-02,891
,Albania,41.15330000,20.16830000,2020-06-03,898
,Albania,41.15330000,20.16830000,2020-06-04,898
,Albania,41.15330000,20.16830000,2020-06-05,910
,Albania,41.15330000,20.16830000,2020-06-06,925
,Albania,41.15330000,20.16830000,2020-06-07,938
,Albania,41.15330000,20.16830000,2020-06-08,945
,Albania,41.15330000,20.16830000,2020-06-09,960
,Albania,41.15330000,20.16830000,2020-06-10,980
,Albania,41.15330000,20.16830000,2020-06-11,1001
,Albania,41.15330000,20.16830000,2020-06-12,1034
,Albania,41.15330000,20.16830000,2020-06-13,1039
,Albania,41.15330000,20.16830000,2020-06-14,1044
,Albania,41.15330000,20.16830000,2020-06-15,1055
,Albania,41.15330000,20.16830000,2020-06-16,1064
,Albania,41.15330000,20.16830000,2020-06-17,1077
,Albania,41.15330000,20.16830000,2020-06-18,1086
,Albania,41.15330000,20.16830000,2020-06-19,1114
,Albania,41.15330000,20.16830000,2020-06-20,1126
,Albania,41.15330000,20.16830000,2020-06-21,1134
,Albania,41.15330000,20.16830000,2020-06-22,1159
,Albania,41.15330000,20.16830000,2020-06-23,1195
,Albania,41.15330000,20.16830000,2020-06-24,1217
,Albania,41.15330000,20.16830000,2020-06-25,1250
,Albania,41.15330000,20.16830000,2020-06-26,1298
,Albania,41.15330000,20.16830000,2020-06-27,1346
,Albania,41.15330000,20.16830000,2020-06-28,1384
,Albania,41.15330000,20.16830000,2020-06-29,1438
,Albania,41.15330000,20.16830000,2020-06-30,1459
,Albania,41.15330000,20.16830000,2020-07-01,1516
